Средний балл,Среднее кол-во У в месяц,Среднее кол-во Б в месяц,Среднее кол-во Н в месяц,Успешный
3.293103448275862,8.0,22.315625,2.111111111111111,0
4.056603773584905,17.625,1.625,0.875,1
3.8055555555555554,17.625,1.625,0.875,1
3.9,17.625,1.625,0.875,1
3.9130434782608696,17.625,1.625,0.875,1
4.026315789473684,17.625,1.625,0.875,1
3.8369565217391295,17.625,1.625,0.875,1
3.5166666666666666,17.625,1.625,0.875,1
3.939393939393939,17.625,1.625,0.875,1
4.303030303030303,17.625,1.625,0.875,1
4.30188679245283,15.444444444444445,12.555555555555555,1.2222222222222223,1
4.1,15.444444444444445,12.555555555555555,1.2222222222222223,1
4.368421052631579,15.444444444444445,12.555555555555555,1.2222222222222223,1
4.488372093023256,15.444444444444445,12.555555555555555,1.2222222222222223,1
4.638888888888889,15.444444444444445,12.555555555555555,1.2222222222222223,1
4.375,15.444444444444445,12.555555555555555,1.2222222222222223,1
4.4324324324324325,15.444444444444445,12.555555555555555,1.2222222222222223,1
4.54054054054054,15.444444444444445,12.555555555555555,1.2222222222222223,1
4.638888888888889,15.444444444444445,12.555555555555555,1.2222222222222223,1
4.036363636363636,12.0,7.428571428571429,1.8571428571428568,1
3.8142857142857145,12.0,7.428571428571429,1.8571428571428568,1
3.872727272727273,12.0,7.428571428571429,1.8571428571428568,1
4.107142857142857,12.0,7.428571428571429,1.8571428571428568,1
3.8205128205128207,12.0,7.428571428571429,1.8571428571428568,1
3.7857142857142856,12.0,7.428571428571429,1.8571428571428568,1
3.3181818181818183,12.0,7.428571428571429,1.8571428571428568,1
4.087301587301587,12.0,7.428571428571429,1.8571428571428568,1
4.176470588235294,12.0,7.428571428571429,1.8571428571428568,1
3.5675675675675675,6.666666666666667,5.555555555555555,2.111111111111111,0
3.475,6.666666666666667,5.555555555555555,2.111111111111111,0
3.583333333333333,6.666666666666667,5.555555555555555,2.111111111111111,0
3.548387096774193,6.666666666666667,5.555555555555555,2.111111111111111,0
3.555555555555556,6.666666666666667,5.555555555555555,2.111111111111111,0
3.861702127659575,6.666666666666667,5.555555555555555,2.111111111111111,0
4.083333333333333,6.666666666666667,5.555555555555555,2.111111111111111,0
3.709090909090909,6.666666666666667,5.555555555555555,2.111111111111111,0
3.9305555555555554,6.666666666666667,5.555555555555555,2.111111111111111,0
3.6666666666666665,10.0,22.315625,1.4444444444444444,0
3.625,10.0,22.315625,1.4444444444444444,0
3.75,10.0,22.315625,1.4444444444444444,0
4.166666666666667,10.0,22.315625,1.4444444444444444,0
4.12,10.0,22.315625,1.4444444444444444,0
3.824324324324324,10.0,22.315625,1.4444444444444444,0
3.642857142857143,10.0,22.315625,1.4444444444444444,0
3.75,10.0,22.315625,1.4444444444444444,0
4.115384615384615,10.0,22.315625,1.4444444444444444,0
3.73469387755102,10.625,19.125,0.375,0
3.4342105263157894,10.625,19.125,0.375,0
3.283783783783784,10.625,19.125,0.375,0
3.573529411764706,10.625,19.125,0.375,0
3.586206896551724,10.625,19.125,0.375,0
3.5277777777777777,10.625,19.125,0.375,0
3.9210526315789473,10.625,19.125,0.375,0
3.607142857142857,10.625,19.125,0.375,0
3.9737529294656952,10.625,19.125,0.375,0
3.1538461538461537,8.125,22.315625,1.375,0
3.1875,8.125,22.315625,1.375,0
3.049019607843137,8.125,22.315625,1.375,0
3.0,8.125,22.315625,1.375,0
3.0526315789473686,8.125,22.315625,1.375,0
3.1481481481481484,8.125,22.315625,1.375,0
3.397058823529412,8.125,22.315625,1.375,0
2.894736842105264,8.125,22.315625,1.375,0
3.9737529294656952,8.125,22.315625,1.375,0
2.956140350877193,5.666666666666667,0.3333333333333333,0.0,0
2.953703703703704,5.666666666666667,0.3333333333333333,0.0,0
3.033333333333333,5.666666666666667,0.3333333333333333,0.0,0
3.0625,5.666666666666667,0.3333333333333333,0.0,0
2.892857142857143,5.666666666666667,0.3333333333333333,0.0,0
3.0098039215686274,5.666666666666667,0.3333333333333333,0.0,0
3.0694444444444446,5.666666666666667,0.3333333333333333,0.0,0
2.7045454545454546,5.666666666666667,0.3333333333333333,0.0,0
3.9737529294656952,5.666666666666667,0.3333333333333333,0.0,0
3.8191489361702127,15.2,0.4,0.0,0
3.862745098039216,15.2,0.4,0.0,0
3.8297872340425534,15.2,0.4,0.0,0
3.731707317073171,15.2,0.4,0.0,0
3.628571428571429,15.2,0.4,0.0,0
3.625,15.2,0.4,0.0,0
3.290322580645161,15.2,0.4,0.0,0
2.833333333333333,15.2,0.4,0.0,0
3.9737529294656952,15.2,0.4,0.0,0
3.317073170731707,2.0,5.5,2.5,0
3.201923076923077,2.0,5.5,2.5,0
3.0508474576271185,2.0,5.5,2.5,0
3.2291666666666665,2.0,5.5,2.5,0
2.9069767441860463,2.0,5.5,2.5,0
3.009433962264151,2.0,5.5,2.5,0
3.125,2.0,5.5,2.5,0
2.833333333333333,2.0,5.5,2.5,0
3.9737529294656952,2.0,5.5,2.5,0
4.428571428571429,0.3333333333333333,0.0,0.6666666666666666,1
4.447916666666667,0.3333333333333333,0.0,0.6666666666666666,1
4.076271186440678,0.3333333333333333,0.0,0.6666666666666666,1
4.204545454545454,0.3333333333333333,0.0,0.6666666666666666,1
4.345238095238095,0.3333333333333333,0.0,0.6666666666666666,1
3.989130434782609,0.3333333333333333,0.0,0.6666666666666666,1
3.8783783783783785,0.3333333333333333,0.0,0.6666666666666666,1
4.090909090909091,0.3333333333333333,0.0,0.6666666666666666,1
3.9737529294656952,0.3333333333333333,0.0,0.6666666666666666,1
3.725490196078432,5.4,0.0,0.2,0
3.574074074074074,5.4,0.0,0.2,0
3.542553191489361,5.4,0.0,0.2,0
3.731707317073171,5.4,0.0,0.2,0
3.661290322580645,5.4,0.0,0.2,0
3.3974358974358974,5.4,0.0,0.2,0
3.5625,5.4,0.0,0.2,0
3.575,5.4,0.0,0.2,0
3.9737529294656952,5.4,0.0,0.2,0
3.702380952380953,12.5,13.625,3.291666666666667,0
3.4857142857142858,12.5,13.625,3.291666666666667,0
3.630952380952381,12.5,13.625,3.291666666666667,0
3.5517241379310347,12.5,13.625,3.291666666666667,0
3.5609756097560976,12.5,13.625,3.291666666666667,0
3.5,12.5,13.625,3.291666666666667,0
3.87037037037037,12.5,13.625,3.291666666666667,0
3.1785714285714284,12.5,13.625,3.291666666666667,0
3.9737529294656952,12.5,13.625,3.291666666666667,0
4.196428571428571,15.333333333333334,1.0,0.3333333333333333,1
4.076923076923077,15.333333333333334,1.0,0.3333333333333333,1
3.93,15.333333333333334,1.0,0.3333333333333333,1
4.09375,15.333333333333334,1.0,0.3333333333333333,1
4.2926829268292686,15.333333333333334,1.0,0.3333333333333333,1
4.011627906976744,15.333333333333334,1.0,0.3333333333333333,1
4.226190476190476,15.333333333333334,1.0,0.3333333333333333,1
3.675,15.333333333333334,1.0,0.3333333333333333,1
3.9737529294656952,15.333333333333334,1.0,0.3333333333333333,1
4.0638297872340425,15.75,5.125,0.25,1
4.127659574468085,15.75,5.125,0.25,1
4.117647058823529,15.75,5.125,0.25,1
4.021739130434782,15.75,5.125,0.25,1
3.8225806451612905,15.75,5.125,0.25,1
4.119047619047619,15.75,5.125,0.25,1
3.4722222222222223,15.75,5.125,0.25,1
3.692307692307693,15.75,5.125,0.25,1
3.9737529294656952,15.75,5.125,0.25,1
3.196078431372549,9.25,0.0,0.0,0
3.5625,9.25,0.0,0.0,0
3.289473684210526,9.25,0.0,0.0,0
3.63953488372093,9.25,0.0,0.0,0
3.1323529411764706,9.25,0.0,0.0,0
3.242857142857143,9.25,0.0,0.0,0
2.8,9.25,0.0,0.0,0
3.055555555555556,9.25,0.0,0.0,0
3.9737529294656952,9.25,0.0,0.0,0
3.764705882352941,7.0,9.5,3.291666666666667,0
3.518867924528302,7.0,9.5,3.291666666666667,0
