Ученик,Средний балл за Сентябрь,Средний балл за Октябрь,Средний балл за Ноябрь,Средний балл за Декабрь,Средний балл за Январь,Средний балл за Февраль,Средний балл за Март,Средний балл за Апрель,Средний балл за 3 месяца (Сентябрь-Октябрь-Ноябрь),Средний балл за 3 месяца (Декабрь-Январь-Февраль),Средний балл за 3 месяца (Март-Апрель-Май),Общее кол-во 5 за год,Общее кол-во 4 за год,Общее кол-во 3 за год,Общее кол-во 2 за год,Общее кол-во У за год,Общее кол-во Б за год,Общее кол-во Н за год,Общее кол-во 5 за 1 полугодие,Общее кол-во 4 за 1 полугодие,Общее кол-во 3 за 1 полугодие,Общее кол-во 2 за 1 полугодие,Общее кол-во У за 1 полугодие,Общее кол-во Б за 1 полугодие,Общее кол-во Н за 1 полугодие,Общее кол-во 5 за 2 полугодие,Общее кол-во 4 за 2 полугодие,Общее кол-во 3 за 2 полугодие,Общее кол-во 2 за 2 полугодие,Общее кол-во У за 2 полугодие,Общее кол-во Б за 2 полугодие,Общее кол-во Н за 2 полугодие,Среднее кол-во У в месяц,Среднее кол-во Б в месяц,Среднее кол-во Н в месяц,Успешный (нет предмета со ср. баллом < 3.5)
Ученица 11_9A,3.196078431372549,3.5625,3.289473684210526,3.63953488372093,3.1323529411764706,3.242857142857143,2.8,3.0555555555555554,3.3493507051943587,3.338248322584848,2.9277777777777776,33,78,113,61,37,0,0,21,58,76,24,29,0,0,12,20,37,37,8,0,0,9.25,0.0,0.0,0
Ученик 12_9A,3.764705882352941,3.518867924528302,3.5901639344262297,3.4895833333333335,3.8902439024390243,3.3783783783783785,3.554054054054054,3.217391304347826,3.6245792471024907,3.5860685380502453,3.3857226792009403,68,94,119,45,14,19,16,39,56,78,21,7,0,16,29,38,41,24,7,19,0,7.0,9.5,8.0,0
Ученица 13_9A,4.24,4.108695652173913,4.095744680851064,4.0,3.371794871794872,3.619565217391304,3.6785714285714284,3.857142857142857,4.1481467776749925,3.6637866963953925,3.767857142857143,109,103,62,38,68,1,11,78,62,28,14,47,1,11,31,41,34,24,21,0,0,11.333333333333334,0.16666666666666666,1.8333333333333333,0
Ученица 14_9A,4.072727272727272,4.145833333333333,3.9107142857142856,4.035714285714286,3.65,3.7023809523809526,3.7972972972972974,3.65,4.04309163059163,3.796031746031746,3.7236486486486484,101,137,61,34,62,1,2,67,85,36,12,29,1,2,34,52,25,22,33,0,0,8.857142857142858,0.14285714285714285,0.2857142857142857,0
Ученик 15_9A,3.6219512195121952,3.736842105263158,3.4361702127659575,3.6904761904761907,3.317073170731707,3.3285714285714287,3.625,3.4166666666666665,3.5983211791804366,3.445373596593109,3.520833333333333,48,93,97,44,120,24,9,29,61,57,19,80,0,9,19,32,40,25,40,24,0,17.142857142857142,3.4285714285714284,1.2857142857142858,0
Ученица 16_9A,4.072916666666667,4.06,3.7884615384615383,4.022222222222222,4.130434782608695,3.8125,3.671875,3.8260869565217392,3.973792735042735,3.9883856682769725,3.7489809782608696,100,110,69,25,34,0,2,61,78,42,11,13,0,2,39,32,27,14,21,0,0,6.8,0.0,0.4,0
Ученик 17_9A,3.457627118644068,3.6354166666666665,3.419642857142857,3.4444444444444446,3.1547619047619047,3.269230769230769,3.5303030303030303,3.3333333333333335,3.504228880817864,3.289479039479039,3.4318181818181817,53,85,160,48,11,0,5,36,50,95,23,6,0,5,17,35,65,25,5,0,0,2.75,0.0,1.25,0
Ученик 18_9A,3.339622641509434,3.1923076923076925,3.3421052631578947,3.3404255319148937,2.9714285714285715,3.0625,3.111111111111111,2.8,3.291345198991673,3.1247847011144887,2.9555555555555557,29,65,114,68,76,85,10,22,45,84,35,21,52,8,7,20,30,33,55,33,2,9.5,10.625,1.25,0
Ученик 19_9A,3.8068181818181817,4.0,4.0576923076923075,4.244897959183674,3.875,3.7222222222222223,3.5714285714285716,3.6904761904761907,3.95483682983683,3.9473733938019655,3.6309523809523814,99,100,72,25,36,0,3,75,62,49,10,6,0,3,24,38,23,15,30,0,0,6.0,0.0,0.5,0
Ученик 20_9A,3.2906976744186047,3.1578947368421053,3.1486486486486487,3.3055555555555554,2.9642857142857144,3.06,3.0625,2.4615384615384617,3.19908035330312,3.10994708994709,2.762019230769231,19,49,111,61,99,96,9,11,37,78,26,59,33,9,8,12,33,35,40,63,0,12.375,12.0,1.125,0
Ученица 21_9A,4.166666666666667,3.7837837837837838,3.9523809523809526,4.0476190476190474,4.288461538461538,3.9074074074074074,4.045454545454546,3.411764705882353,3.9676104676104678,4.081162664495998,3.728609625668449,87,88,52,20,74,73,20,51,64,35,9,36,31,20,36,24,17,11,38,42,0,9.25,9.125,2.5,0
Ученица 22_9A,4.416666666666667,4.541666666666667,4.267441860465116,4.519607843137255,4.714285714285714,4.482758620689655,4.068181818181818,3.9583333333333335,4.40859173126615,4.572217392704208,4.013257575757576,153,85,27,3,86,28,15,97,62,16,1,21,2,15,56,23,11,2,65,26,0,12.285714285714286,4.0,2.142857142857143,1
Ученица 23_9A,4.090909090909091,4.0476190476190474,4.13265306122449,3.7857142857142856,3.5714285714285716,3.6951219512195124,3.46875,3.1052631578947367,4.090393733250876,3.6840882694541235,3.287006578947368,93,111,85,33,17,13,3,65,77,40,11,7,13,3,28,34,45,22,10,0,0,3.4,2.6,0.6,0
Ученица 24_9A,3.7788461538461537,4.294117647058823,4.109090909090909,4.102564102564102,3.838709677419355,3.6707317073170733,3.9655172413793105,3.25,4.060684903331962,3.8706684957668434,3.6077586206896552,106,92,70,31,8,31,8,71,56,41,11,2,31,8,35,36,29,20,6,0,0,1.6,6.2,1.6,0
Ученица 25_9A,4.153846153846154,4.170212765957447,3.967741935483871,4.175,4.074074074074074,3.9242424242424243,4.092592592592593,4.0,4.097266951762491,4.057772166105499,4.046296296296296,94,95,47,11,107,26,17,62,57,31,5,53,21,17,32,38,16,6,54,5,0,13.375,3.25,2.125,0
