Ученик,Средний балл за Сентябрь,Средний балл за Октябрь,Средний балл за Ноябрь,Средний балл за Декабрь,Средний балл за Январь,Средний балл за Февраль,Средний балл за Март,Средний балл за Апрель,Средний балл за Май,Средний балл за 3 месяца (Сентябрь-Октябрь-Ноябрь),Средний балл за 3 месяца (Декабрь-Январь-Февраль),Средний балл за 3 месяца (Март-Апрель-Май),Общее кол-во 5 за год,Общее кол-во 4 за год,Общее кол-во 3 за год,Общее кол-во 2 за год,Общее кол-во У за год,Общее кол-во Б за год,Общее кол-во Н за год,Общее кол-во 5 за 1 полугодие,Общее кол-во 4 за 1 полугодие,Общее кол-во 3 за 1 полугодие,Общее кол-во 2 за 1 полугодие,Общее кол-во У за 1 полугодие,Общее кол-во Б за 1 полугодие,Общее кол-во Н за 1 полугодие,Общее кол-во 5 за 2 полугодие,Общее кол-во 4 за 2 полугодие,Общее кол-во 3 за 2 полугодие,Общее кол-во 2 за 2 полугодие,Общее кол-во У за 2 полугодие,Общее кол-во Б за 2 полугодие,Общее кол-во Н за 2 полугодие,Среднее кол-во У в месяц,Среднее кол-во Б в месяц,Среднее кол-во Н в месяц,Успешный (нет предмета со ср. баллом < 3.5)
Ученица 10_8A,4.186440677966102,3.611111111111111,4.141304347826087,4.17741935483871,3.9393939393939394,4.117021276595745,3.7794117647058822,4.238095238095238,4.340909090909091,3.9796187123011,4.077944856942798,4.119472031236737,133,112,84,12,164,31,14,67,52,42,7,74,0,0,66,60,42,5,90,31,14,20.5,3.875,1.75,0
Ученица 11_8A,3.380952380952381,3.0256410256410255,3.425925925925926,3.3125,3.3846153846153846,3.3867924528301887,3.0625,3.4375,3.5,3.277506444173111,3.361302612481858,3.3333333333333335,66,68,203,61,30,24,7,31,27,98,30,28,22,2,35,41,105,31,2,2,5,5.0,4.0,1.1666666666666667,0
Ученик 12_8A,3.4473684210526314,3.4347826086956523,3.564814814814815,3.757142857142857,3.4146341463414633,3.4285714285714284,3.413793103448276,3.638888888888889,3.9696969696969697,3.4823219481876997,3.5334494773519167,3.6741263206780452,80,95,163,43,55,30,6,33,46,71,19,35,6,1,47,49,92,24,20,24,5,6.875,3.75,0.75,0
Ученица 13_8A,3.9375,3.689189189189189,3.784090909090909,4.293103448275862,3.775,3.826530612244898,3.546875,3.7547169811320753,3.625,3.8035933660933665,3.9648780201735865,3.642197327044025,110,116,118,32,73,63,15,58,54,46,13,38,46,0,52,62,72,19,35,17,15,9.125,7.875,1.875,0
Ученица 14_8A,3.982456140350877,3.880952380952381,4.196428571428571,4.2631578947368425,4.15,3.918918918918919,3.8870967741935485,4.076923076923077,3.640625,4.019945697577277,4.110692271218587,3.868214950372208,120,127,88,15,31,135,19,61,59,37,7,19,88,1,59,68,51,8,12,47,18,3.4444444444444446,15.0,2.111111111111111,0
Ученик 15_8A,3.4915254237288136,3.6666666666666665,3.5945945945945947,3.8214285714285716,3.41025641025641,3.49,3.375,3.6826923076923075,3.6805555555555554,3.5842622283300245,3.573894993894994,3.5794159544159547,65,105,147,33,170,1,23,29,52,57,16,104,0,0,36,53,90,17,66,1,23,18.88888888888889,0.1111111111111111,2.5555555555555554,0
Ученица 16_8A,3.9591836734693877,3.7934782608695654,3.8555555555555556,3.9324324324324325,4.0,3.8552631578947367,3.734375,3.625,3.9516129032258065,3.8694058299648364,3.9292318634423897,3.7703293010752685,101,98,111,21,79,80,8,52,58,55,9,29,0,0,49,40,56,12,50,80,8,13.166666666666666,13.333333333333334,1.3333333333333333,0
Ученик 17_8A,3.543859649122807,3.160377358490566,3.4245283018867925,3.4464285714285716,3.3617021276595747,3.2738095238095237,3.324324324324324,3.4411764705882355,3.763157894736842,3.376255103166722,3.36064674096589,3.509552896549801,68,94,195,60,84,0,9,29,45,84,30,65,0,0,39,49,111,30,19,0,9,14.0,0.0,1.5,0
Ученик 18_8A,3.21875,3.1323529411764706,3.325,3.25,3.1142857142857143,3.127659574468085,3.0833333333333335,3.355769230769231,3.0142857142857142,3.2253676470588233,3.163981762917933,3.151129426129426,38,56,181,69,97,63,39,14,31,77,26,39,61,3,24,25,104,43,58,2,36,10.777777777777779,7.0,4.333333333333333,0
Ученик 19_8A,3.515625,3.3425925925925926,3.4038461538461537,3.7903225806451615,3.6944444444444446,3.276595744680851,3.1625,3.4661016949152543,3.5,3.4206879154795824,3.587120923256819,3.3762005649717515,66,101,177,57,109,0,14,38,48,84,29,40,0,0,28,53,93,28,69,0,14,13.625,0.0,1.75,0
Ученик 20_8A,3.292682926829268,3.130434782608696,3.0609756097560976,3.15,3.282051282051282,3.1451612903225805,2.9393939393939394,3.090909090909091,3.293103448275862,3.161364439731354,3.192404190791287,3.1078021595262975,29,46,174,59,72,225,19,13,27,78,29,40,71,2,16,19,96,30,32,154,17,8.0,25.0,2.111111111111111,0
Ученица 21_8A,4.056603773584905,3.8055555555555554,3.9,3.9130434782608696,4.026315789473684,3.8369565217391304,3.5166666666666666,3.9393939393939394,4.303030303030303,3.9207197763801536,3.925438596491228,3.9196969696969695,140,84,103,30,141,13,7,67,49,48,15,39,0,0,73,35,55,15,102,13,7,17.625,1.625,0.875,0
Ученица 22_8A,4.30188679245283,4.1,4.368421052631579,4.488372093023256,4.638888888888889,4.375,4.4324324324324325,4.54054054054054,4.638888888888889,4.256769281694803,4.500753660637382,4.537287287287287,172,119,31,3,139,113,11,71,63,19,2,55,54,3,101,56,12,1,84,59,8,15.444444444444445,12.555555555555555,1.2222222222222223,1
Ученица 23_8A,4.036363636363636,3.8142857142857145,3.8727272727272726,4.107142857142857,3.8205128205128207,3.7857142857142856,3.3181818181818183,4.087301587301587,4.176470588235294,3.9077922077922076,3.9044566544566544,3.8606513312395663,128,108,107,24,84,52,13,63,46,51,10,33,52,0,65,62,56,14,51,0,13,12.0,7.428571428571429,1.8571428571428572,0
Ученица 24_8A,3.5675675675675675,3.475,3.5833333333333335,3.5483870967741935,3.5555555555555554,3.8617021276595747,4.083333333333333,3.709090909090909,3.9305555555555554,3.5419669669669673,3.655214926663108,3.907659932659932,86,95,131,34,60,50,19,31,43,66,19,54,0,1,55,52,65,15,6,50,18,6.666666666666667,5.555555555555555,2.111111111111111,0
Ученица 25_8A,3.6666666666666665,3.625,3.75,4.166666666666667,4.12,3.824324324324324,3.642857142857143,3.75,4.115384615384615,3.6805555555555554,4.036996996996997,3.8360805860805858,72,99,85,18,90,288,13,37,42,42,13,57,94,1,35,57,43,5,33,194,12,10.0,32.0,1.4444444444444444,0
