Ученик,Средний балл за Сентябрь,Средний балл за Октябрь,Средний балл за Ноябрь,Средний балл за Декабрь,Средний балл за Январь,Средний балл за Февраль,Средний балл за Март,Средний балл за Апрель,Средний балл за Май,Средний балл за 3 месяца (Сентябрь-Октябрь-Ноябрь),Средний балл за 3 месяца (Декабрь-Январь-Февраль),Средний балл за 3 месяца (Март-Апрель-Май),Общее кол-во 5 за год,Общее кол-во 4 за год,Общее кол-во 3 за год,Общее кол-во 2 за год,Общее кол-во У за год,Общее кол-во Б за год,Общее кол-во Н за год,Общее кол-во 5 за 1 полугодие,Среднее кол-во 5 за 1 полугодие (на предмет),Общее кол-во 4 за 1 полугодие,Среднее кол-во 4 за 1 полугодие (на предмет),Общее кол-во 3 за 1 полугодие,Среднее кол-во 3 за 1 полугодие (на предмет),Общее кол-во 2 за 1 полугодие,Среднее кол-во 2 за 1 полугодие (на предмет),Общее кол-во У за 1 полугодие,Среднее кол-во У за 1 полугодие (на предмет),Общее кол-во Б за 1 полугодие,Среднее кол-во Б за 1 полугодие (на предмет),Общее кол-во Н за 1 полугодие,Среднее кол-во Н за 1 полугодие (на предмет),Общее кол-во 5 за 2 полугодие,Среднее кол-во 5 за 2 полугодие (на предмет),Общее кол-во 4 за 2 полугодие,Среднее кол-во 4 за 2 полугодие (на предмет),Общее кол-во 3 за 2 полугодие,Среднее кол-во 3 за 2 полугодие (на предмет),Общее кол-во 2 за 2 полугодие,Среднее кол-во 2 за 2 полугодие (на предмет),Общее кол-во У за 2 полугодие,Среднее кол-во У за 2 полугодие (на предмет),Общее кол-во Б за 2 полугодие,Среднее кол-во Б за 2 полугодие (на предмет),Общее кол-во Н за 2 полугодие,Среднее кол-во Н за 2 полугодие (на предмет),Среднее кол-во 5 в месяц,Среднее кол-во 4 в месяц,Среднее кол-во 3 в месяц,Среднее кол-во 2 в месяц,Среднее кол-во У в месяц,Среднее кол-во Б в месяц,Среднее кол-во Н в месяц,Успешный (нет предмета со ср. баллом < 3.5)
Ученица 10,4.186440677966102,3.611111111111111,4.141304347826087,4.17741935483871,3.9393939393939394,4.117021276595745,3.7794117647058822,4.238095238095238,4.340909090909091,3.9796187123011,4.077944856942798,4.119472031236737,133,112,84,12,164,31,14,67,3.1904761904761907,52,2.4761904761904763,42,2.0,7,0.3333333333333333,74,3.5238095238095237,0,0.0,0,0.0,66,3.142857142857143,60,2.857142857142857,42,2.0,5,0.23809523809523808,90,4.285714285714286,31,1.4761904761904763,14,0.6666666666666666,14.777777777777779,12.444444444444445,9.333333333333334,1.3333333333333333,20.5,3.875,1.75,False
Ученица 11,3.380952380952381,3.0256410256410255,3.425925925925926,3.3125,3.3846153846153846,3.3867924528301887,3.0625,3.4375,3.5,3.277506444173111,3.361302612481858,3.3333333333333335,66,68,203,61,30,24,7,31,1.4761904761904763,27,1.2857142857142858,98,4.666666666666667,30,1.4285714285714286,28,1.3333333333333333,22,1.0476190476190477,2,0.09523809523809523,35,1.6666666666666667,41,1.9523809523809523,105,5.0,31,1.4761904761904763,2,0.09523809523809523,2,0.09523809523809523,5,0.23809523809523808,7.333333333333333,7.555555555555555,22.555555555555557,6.777777777777778,5.0,4.0,1.1666666666666667,False
Ученик 12,3.4473684210526314,3.4347826086956523,3.564814814814815,3.757142857142857,3.4146341463414633,3.4285714285714284,3.413793103448276,3.638888888888889,3.9696969696969697,3.4823219481876997,3.5334494773519167,3.6741263206780452,80,95,163,43,55,30,6,33,1.5714285714285714,46,2.1904761904761907,71,3.380952380952381,19,0.9047619047619048,35,1.6666666666666667,6,0.2857142857142857,1,0.047619047619047616,47,2.238095238095238,49,2.3333333333333335,92,4.380952380952381,24,1.1428571428571428,20,0.9523809523809523,24,1.1428571428571428,5,0.23809523809523808,8.88888888888889,10.555555555555555,18.11111111111111,4.777777777777778,6.875,3.75,0.75,False
Ученица 13,3.9375,3.689189189189189,3.784090909090909,4.293103448275862,3.775,3.826530612244898,3.546875,3.7547169811320753,3.625,3.8035933660933665,3.9648780201735865,3.642197327044025,110,116,118,32,73,63,15,58,2.761904761904762,54,2.5714285714285716,46,2.1904761904761907,13,0.6190476190476191,38,1.8095238095238095,46,2.1904761904761907,0,0.0,52,2.4761904761904763,62,2.9523809523809526,72,3.4285714285714284,19,0.9047619047619048,35,1.6666666666666667,17,0.8095238095238095,15,0.7142857142857143,12.222222222222221,12.88888888888889,13.11111111111111,3.5555555555555554,9.125,7.875,1.875,False
Ученица 14,3.982456140350877,3.880952380952381,4.196428571428571,4.2631578947368425,4.15,3.918918918918919,3.8870967741935485,4.076923076923077,3.640625,4.019945697577277,4.110692271218587,3.868214950372208,120,127,88,15,31,135,19,61,2.9047619047619047,59,2.8095238095238093,37,1.7619047619047619,7,0.3333333333333333,19,0.9047619047619048,88,4.190476190476191,1,0.047619047619047616,59,2.8095238095238093,68,3.238095238095238,51,2.4285714285714284,8,0.38095238095238093,12,0.5714285714285714,47,2.238095238095238,18,0.8571428571428571,13.333333333333334,14.11111111111111,9.777777777777779,1.6666666666666667,3.4444444444444446,15.0,2.111111111111111,False
Ученик 15,3.4915254237288136,3.6666666666666665,3.5945945945945947,3.8214285714285716,3.41025641025641,3.49,3.375,3.6826923076923075,3.6805555555555554,3.5842622283300245,3.573894993894994,3.5794159544159547,65,105,147,33,170,1,23,29,1.380952380952381,52,2.4761904761904763,57,2.7142857142857144,16,0.7619047619047619,104,4.9523809523809526,0,0.0,0,0.0,36,1.7142857142857142,53,2.5238095238095237,90,4.285714285714286,17,0.8095238095238095,66,3.142857142857143,1,0.047619047619047616,23,1.0952380952380953,7.222222222222222,11.666666666666666,16.333333333333332,3.6666666666666665,18.88888888888889,0.1111111111111111,2.5555555555555554,False
Ученица 16,3.9591836734693877,3.7934782608695654,3.8555555555555556,3.9324324324324325,4.0,3.8552631578947367,3.734375,3.625,3.9516129032258065,3.8694058299648364,3.9292318634423897,3.7703293010752685,101,98,111,21,79,80,8,52,2.4761904761904763,58,2.761904761904762,55,2.619047619047619,9,0.42857142857142855,29,1.380952380952381,0,0.0,0,0.0,49,2.3333333333333335,40,1.9047619047619047,56,2.6666666666666665,12,0.5714285714285714,50,2.380952380952381,80,3.8095238095238093,8,0.38095238095238093,11.222222222222221,10.88888888888889,12.333333333333334,2.3333333333333335,13.166666666666666,13.333333333333334,1.3333333333333333,False
Ученик 17,3.543859649122807,3.160377358490566,3.4245283018867925,3.4464285714285716,3.3617021276595747,3.2738095238095237,3.324324324324324,3.4411764705882355,3.763157894736842,3.376255103166722,3.36064674096589,3.509552896549801,68,94,195,60,84,0,9,29,1.380952380952381,45,2.142857142857143,84,4.0,30,1.4285714285714286,65,3.0952380952380953,0,0.0,0,0.0,39,1.8571428571428572,49,2.3333333333333335,111,5.285714285714286,30,1.4285714285714286,19,0.9047619047619048,0,0.0,9,0.42857142857142855,7.555555555555555,10.444444444444445,21.666666666666668,6.666666666666667,14.0,0.0,1.5,False
Ученик 18,3.21875,3.1323529411764706,3.325,3.25,3.1142857142857143,3.127659574468085,3.0833333333333335,3.355769230769231,3.0142857142857142,3.2253676470588233,3.163981762917933,3.151129426129426,38,56,181,69,97,63,39,14,0.6666666666666666,31,1.4761904761904763,77,3.6666666666666665,26,1.2380952380952381,39,1.8571428571428572,61,2.9047619047619047,3,0.14285714285714285,24,1.1428571428571428,25,1.1904761904761905,104,4.9523809523809526,43,2.0476190476190474,58,2.761904761904762,2,0.09523809523809523,36,1.7142857142857142,4.222222222222222,6.222222222222222,20.11111111111111,7.666666666666667,10.777777777777779,7.0,4.333333333333333,False
Ученик 19,3.515625,3.3425925925925926,3.4038461538461537,3.7903225806451615,3.6944444444444446,3.276595744680851,3.1625,3.4661016949152543,3.5,3.4206879154795824,3.587120923256819,3.3762005649717515,66,101,177,57,109,0,14,38,1.8095238095238095,48,2.2857142857142856,84,4.0,29,1.380952380952381,40,1.9047619047619047,0,0.0,0,0.0,28,1.3333333333333333,53,2.5238095238095237,93,4.428571428571429,28,1.3333333333333333,69,3.2857142857142856,0,0.0,14,0.6666666666666666,7.333333333333333,11.222222222222221,19.666666666666668,6.333333333333333,13.625,0.0,1.75,False
Ученик 20,3.292682926829268,3.130434782608696,3.0609756097560976,3.15,3.282051282051282,3.1451612903225805,2.9393939393939394,3.090909090909091,3.293103448275862,3.161364439731354,3.192404190791287,3.1078021595262975,29,46,174,59,72,225,19,13,0.6190476190476191,27,1.2857142857142858,78,3.7142857142857144,29,1.380952380952381,40,1.9047619047619047,71,3.380952380952381,2,0.09523809523809523,16,0.7619047619047619,19,0.9047619047619048,96,4.571428571428571,30,1.4285714285714286,32,1.5238095238095237,154,7.333333333333333,17,0.8095238095238095,3.2222222222222223,5.111111111111111,19.333333333333332,6.555555555555555,8.0,25.0,2.111111111111111,False
Ученица 21,4.056603773584905,3.8055555555555554,3.9,3.9130434782608696,4.026315789473684,3.8369565217391304,3.5166666666666666,3.9393939393939394,4.303030303030303,3.9207197763801536,3.925438596491228,3.9196969696969695,140,84,103,30,141,13,7,67,3.1904761904761907,49,2.3333333333333335,48,2.2857142857142856,15,0.7142857142857143,39,1.8571428571428572,0,0.0,0,0.0,73,3.4761904761904763,35,1.6666666666666667,55,2.619047619047619,15,0.7142857142857143,102,4.857142857142857,13,0.6190476190476191,7,0.3333333333333333,15.555555555555555,9.333333333333334,11.444444444444445,3.3333333333333335,17.625,1.625,0.875,False
Ученица 22,4.30188679245283,4.1,4.368421052631579,4.488372093023256,4.638888888888889,4.375,4.4324324324324325,4.54054054054054,4.638888888888889,4.256769281694803,4.500753660637382,4.537287287287287,172,119,31,3,139,113,11,71,3.380952380952381,63,3.0,19,0.9047619047619048,2,0.09523809523809523,55,2.619047619047619,54,2.5714285714285716,3,0.14285714285714285,101,4.809523809523809,56,2.6666666666666665,12,0.5714285714285714,1,0.047619047619047616,84,4.0,59,2.8095238095238093,8,0.38095238095238093,19.11111111111111,13.222222222222221,3.4444444444444446,0.3333333333333333,15.444444444444445,12.555555555555555,1.2222222222222223,True
Ученица 23,4.036363636363636,3.8142857142857145,3.8727272727272726,4.107142857142857,3.8205128205128207,3.7857142857142856,3.3181818181818183,4.087301587301587,4.176470588235294,3.9077922077922076,3.9044566544566544,3.8606513312395663,128,108,107,24,84,52,13,63,3.0,46,2.1904761904761907,51,2.4285714285714284,10,0.47619047619047616,33,1.5714285714285714,52,2.4761904761904763,0,0.0,65,3.0952380952380953,62,2.9523809523809526,56,2.6666666666666665,14,0.6666666666666666,51,2.4285714285714284,0,0.0,13,0.6190476190476191,14.222222222222221,12.0,11.88888888888889,2.6666666666666665,12.0,7.428571428571429,1.8571428571428572,False
Ученица 24,3.5675675675675675,3.475,3.5833333333333335,3.5483870967741935,3.5555555555555554,3.8617021276595747,4.083333333333333,3.709090909090909,3.9305555555555554,3.5419669669669673,3.655214926663108,3.907659932659932,86,95,131,34,60,50,19,31,1.4761904761904763,43,2.0476190476190474,66,3.142857142857143,19,0.9047619047619048,54,2.5714285714285716,0,0.0,1,0.047619047619047616,55,2.619047619047619,52,2.4761904761904763,65,3.0952380952380953,15,0.7142857142857143,6,0.2857142857142857,50,2.380952380952381,18,0.8571428571428571,9.555555555555555,10.555555555555555,14.555555555555555,3.7777777777777777,6.666666666666667,5.555555555555555,2.111111111111111,False
Ученица 25,3.6666666666666665,3.625,3.75,4.166666666666667,4.12,3.824324324324324,3.642857142857143,3.75,4.115384615384615,3.6805555555555554,4.036996996996997,3.8360805860805858,72,99,85,18,90,288,13,37,1.7619047619047619,42,2.0,42,2.0,13,0.6190476190476191,57,2.7142857142857144,94,4.476190476190476,1,0.047619047619047616,35,1.6666666666666667,57,2.7142857142857144,43,2.0476190476190474,5,0.23809523809523808,33,1.5714285714285714,194,9.238095238095237,12,0.5714285714285714,8.0,11.0,9.444444444444445,2.0,10.0,32.0,1.4444444444444444,False
